Animal ID,Animal Name,Animal Type,Sex,Years Old,Months Old,Primary Breed,Primary Color,Tag Number,Intake Date,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Outcome Date,Intake Day of the Week,Outcome Day of the Week
A000218,FATTY,Cat,Neutered Male,0,3,DOMESTIC LH,GRAY,052355562,12/13/2020,Owner Surrendered,Over the Counter,Adoption,,12/18/2020,Sunday,Friday
A001474,CHARLES,Dog,Neutered Male,1,0,LABRADOR RETR,YELLOW,982000150016071,10/19/2021,Stray,Over the Counter,Return to Owner,Walk-In,10/19/2021,Tuesday,Tuesday
A001699,SYLVESTER,Dog,Neutered Male,13,,YORKSHIRE TERR,BLACK,101625810,01/05/2019,Stray,Over the Counter,Return to Owner,,01/05/2019,Saturday,Saturday
A001699,SYLVESTER,Dog,Neutered Male,13,,YORKSHIRE TERR,BLACK,101625810,01/05/2019,Owner Surrendered,Over the Counter,Transfer,Rescue Group,01/22/2019,Saturday,Tuesday
A002332,CHLOE,Dog,Spayed Female,0,0,POODLE MIN,BLACK,,10/23/2021,Disposal Request of Deceased Pet,Over the Counter,Disposal of Deceased Pet,,10/23/2021,Saturday,Saturday
A002532,BELLA,Dog,Spayed Female,0,2.3,PIT BULL,BLACK,L19-010226,03/02/2020,Stray,Over the Counter,Return to Owner,Microchip,03/02/2020,Monday,Monday
A002532,BELLA,Dog,Spayed Female,0,2.3,PIT BULL,BLACK,L19-010226,09/23/2019,Stray,Animal Control,Return to Owner,Walk-In,09/23/2019,Monday,Monday
A002532,BELLA,Dog,Spayed Female,0,2.3,PIT BULL,BLACK,L19-010226,05/30/2019,Stray,Animal Control,Return to Owner,Microchip,05/30/2019,Thursday,Thursday
A002785,MYSTIQUE,Dog,Spayed Female,15,,LABRADOR RETR,BLACK,170912,01/24/2018,Stray,Animal Control,Return to Owner,Walk-In,01/29/2018,Wednesday,Monday
A002785,MYSTIQUE,Dog,Spayed Female,15,,LABRADOR RETR,BLACK,170912,05/12/2018,Stray,Animal Control,Return to Owner,Walk-In,05/12/2018,Saturday,Saturday
A003364,SAM,Dog,Neutered Male,4,0,ROTTWEILER,BLACK,L19-008774,12/10/2018,Stray,Animal Control,Return to Owner,Microchip,12/10/2018,Monday,Monday
A006163,MOLLY,Dog,Spayed Female,1,0,CHIHUAHUA LH,BROWN,05203,03/25/2018,Confiscated,Animal Cruelty,Return to Owner,Walk-In,03/26/2018,Sunday,Monday
A006262,BRUTUS,Dog,Neutered Male,9,0,LABRADOR RETR,WHITE,4835150023,07/12/2018,Stray,Over the Counter,Return to Owner,Microchip,07/12/2018,Thursday,Thursday
A007123,SALEM,Cat,Neutered Male,0,2,DOMESTIC SH,BLACK,071591779,02/23/2019,Owner Surrendered,Over the Counter,Adoption,Walk-In,04/04/2019,Saturday,Thursday
A008004,ABBY,Cat,Spayed Female,1,0.5,DOMESTIC SH,BLACK,073516875,11/08/2022,Owner Surrendered,Over the Counter,Euthanized,Age-Related,11/08/2022,Tuesday,Tuesday
A008119,BELLA,Dog,Spayed Female,1,0,PIT BULL,BLACK,L18-010814,01/26/2018,Stray,Animal Control,Adoption,Walk-In,02/18/2018,Friday,Sunday
A008119,BELLA,Dog,Spayed Female,1,0,PIT BULL,BLACK,070006,11/26/2017,Stray,Animal Control,Return to Owner,Walk-In,11/28/2017,Sunday,Tuesday
A009429,JULIA,Cat,Spayed Female,0,0,DOMESTIC LH,BLK TABBY,L18-010088,11/22/2017,Owner Surrendered,Over the Counter,Adoption,Website Information,12/16/2017,Wednesday,Saturday
A010186,PRINCESS,Dog,Spayed Female,0,7,BEAGLE,TRICOLOR,L17-011247,01/25/2019,Stray,Animal Control,Return to Owner,Microchip,01/26/2019,Friday,Saturday
A010300,JACK,Dog,Neutered Male,0,2,PIT BULL,BROWN,L19-009115,01/05/2019,Stray,Animal Control,Return to Owner,Microchip,01/05/2019,Saturday,Saturday
