OBJECTID,Animal_Id,Animal_Name,Animal_Type,Activity_Number,Intake_Type,Picked_up_Location,Intake_Date,Outcome_Type,Outcome_Date,Animal_Age,Animal_PrimaryColor,Animal_Sex,Outcome_SubType
1,A230281,GABBY,DOG,,STRAY,H ST & 33RD ST,2020/01/11 08:00:00+00,EUTH,2020/01/13 08:00:00+00,14Y,BLACK,S,MD/UNTREAT
2,A240726,CLEO,CAT,A20-452345,STRAY,63RD ST & 18TH AVE,2020/02/29 08:00:00+00,EUTH,2020/03/11 07:00:00+00,11Y,BLK TABBY,S,PHYS COND
3,A253218,PIPER,DOG,,EUTH REQ,,2020/05/22 07:00:00+00,EUTH,2020/05/22 07:00:00+00,13Y,WHITE,S,OWNER REQ
4,A255691,PEACHES,DOG,,STRAY,902 DEL PASO BLVD,2019/11/07 08:00:00+00,FOSTER,2019/11/15 08:00:00+00,15Y,WHITE,S,SPACE
5,A255691,PEACHES,DOG,,FOSTER,,2019/11/17 08:00:00+00,ADOPTION,2019/12/02 08:00:00+00,15Y,WHITE,S,NORMAL
6,A259803,CHESTER,DOG,,STRAY,,2020/04/01 07:00:00+00,RTO,2020/04/01 07:00:00+00,16Y,BROWN,N,PET UNIFY
7,A274610,AIDAN,DOG,,STRAY,FRONT ST & U ST,2022/05/25 07:00:00+00,RTO,2022/05/26 07:00:00+00,15Y,BLACK,S,WEBSITE
8,A276290,JOCK,DOG,A21-465425,OWNER SUR,3252 8TH AVE,2021/03/15 07:00:00+00,EUTH,2021/03/15 07:00:00+00,12Y,BLACK,N,MD/UNTREAT
9,A281260,GINGER,DOG,A22-485374,STRAY,MEADOWVIEW RD & FREEPORT BLVD,2022/05/31 07:00:00+00,RTO,2022/06/02 07:00:00+00,14Y,RED,S,PHONE
10,A302306,,CAT,A21-477474,STRAY,FERNANDEZ DR & 26TH STREET,2021/12/11 08:00:00+00,EUTH VET,2022/01/03 08:00:00+00,13Y,LYNX PT,N,INJURED
11,A311919,BUDDY,DOG,A21-471345,STRAY,RICHARDS BLVD & N 5TH ST,2021/07/20 07:00:00+00,EUTH,2021/07/21 07:00:00+00,13Y,BLACK,N,MD/UNTREAT
12,A321090,BEAR,DOG,A20-453969,CONFISCATE,JOHNFER WAY & LEAF AVE,2020/04/23 07:00:00+00,EUTH,2020/04/25 07:00:00+00,,BL BRINDLE,N,MD/UNTREAT
13,A321091,KIRA,DOG,A20-453969,CONFISCATE,JOHNFER WAY & LEAF AVE,2020/04/23 07:00:00+00,ADOPTION,2020/05/30 07:00:00+00,14Y,BL BRINDLE,S,RESCUE GRP
14,A324452,LUNA,DOG,A20-456642,STRAY,OCCIDENTAL DR & GREAT FALLS WAY,2020/07/08 07:00:00+00,RTO,2020/07/08 07:00:00+00,,BROWN,S,IMP 1
15,A326280,MALO,DOG,A21-466061,CONFISCATE,HITCHCOCK WY & GRANDSTAFF DR,2021/03/30 07:00:00+00,EUTH,2021/03/30 07:00:00+00,12Y,BLACK,N,PHYS COND
16,A329792,MADDIE,DOG,,EUTH REQ,,2020/09/26 07:00:00+00,EUTH,2020/09/26 07:00:00+00,11Y,BL BRINDLE,S,OWNER REQ
17,A329972,BULLWINKLE,DOG,A20-461179,CONFISCATE,X ST & 24TH ST,2020/11/15 08:00:00+00,TRANSFER,2020/11/19 08:00:00+00,15Y,BROWN,N,RESCUE GRP
18,A331981,PATOLITO,DOG,A20-450407,STRAY,KATHARINE AVE & HURON ST,2020/01/22 08:00:00+00,RTO,2020/01/23 08:00:00+00,14Y,WHITE,N,IMP 1
19,A344734,LADY,DOG,A21-471265,FOSTER,,2021/08/08 07:00:00+00,TRANSFER,2021/08/14 07:00:00+00,15Y,BLACK,S,RESCUE GRP
20,A344734,LADY,DOG,A21-471265,CONFISCATE,15 BINACA CT,2021/07/19 07:00:00+00,FOSTER,2021/07/31 07:00:00+00,15Y,BLACK,S,EMERGENCY
21,A347018,JETHRO,DOG,,STRAY,JEFFERSON BLVD & LINDEN RD,2022/01/01 08:00:00+00,,2022/02/01 08:00:00+00,,BLONDE,N,
22,A351489,MINNIE,DOG,A22-484670,STRAY,TAFT ST& FRIENZA AVE,2022/05/17 07:00:00+00,RTO,2022/05/19 07:00:00+00,13Y,WHITE,S,FACEBOOK
23,A352987,LILY,DOG,A22-491656,CONFISCATE,FOLSOM BLVD AT HOWE AVE,2022/10/08 07:00:00+00,RTO,2022/10/10 07:00:00+00,12Y,BLACK,S,PHONE
24,A357749,ISABELL,CAT,,STRAY,22ND AVE & 54TH ST,2020/10/21 07:00:00+00,RTO,2020/10/21 07:00:00+00,16Y,BLACK,S,NEXTDOOR
25,A360116,BUTTERBELL,DOG,,FOSTER,,2020/02/11 08:00:00+00,ADOPTION,2020/02/11 08:00:00+00,15Y,BLACK,S,FOSTER
