date,area,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests
2020-02-01,Sonoma,County,496668.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,
2020-02-02,Sonoma,County,496668.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,
2020-02-03,Sonoma,County,496668.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,
2020-02-04,Sonoma,County,496668.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,
2020-02-05,Sonoma,County,496668.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,
2020-02-06,Sonoma,County,496668.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,
2020-02-07,Sonoma,County,496668.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0,0.0,0.0,0.0,0.0,
2020-02-08,Sonoma,County,496668.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,
2020-02-09,Sonoma,County,496668.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0,0.0,0.0,0.0,0.0,
2020-02-10,Sonoma,County,496668.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,
2020-02-11,Sonoma,County,496668.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,
2020-02-12,Sonoma,County,496668.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,
2020-02-13,Sonoma,County,496668.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,
2020-02-14,Sonoma,County,496668.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,
2020-02-15,Sonoma,County,496668.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0,0.0,0.0,0.0,0.0,
2020-02-16,Sonoma,County,496668.0,1.0,1.0,0.0,0.0,0.0,3,0.0,0,0.0,0.0,0.0,0.0,
2020-02-17,Sonoma,County,496668.0,0.0,1.0,0.0,0.0,0.0,3,0.0,0,0.0,0.0,0.0,0.0,
2020-02-18,Sonoma,County,496668.0,0.0,1.0,0.0,0.0,4.0,7,0.0,0,0.0,0.0,0.0,0.0,
2020-02-19,Sonoma,County,496668.0,1.0,2.0,0.0,0.0,0.0,7,0.0,0,0.0,0.0,0.0,0.0,
2020-02-20,Sonoma,County,496668.0,0.0,2.0,0.0,0.0,3.0,10,0.0,0,0.0,0.0,0.0,0.0,
